TradingDate,log_return
2022-06-30,-0.10563280342491259
2022-07-31,0.08833746125768785
2022-08-31,-0.5050116539005727
2022-09-30,0.00481928643594913
2022-10-31,-0.25613371471685703
2022-11-30,0.16034265007518161
2022-12-31,0.35296436454219615
2023-01-31,0.08546122941522886
2023-02-28,-0.2774952271447898
2023-03-31,0.2774952271447894
2023-04-30,-0.1428383419985301
2023-05-31,0.15975921948686805
2023-06-30,0.22599376315783953
2023-07-31,-0.07115376025629055
2023-08-31,-0.0060594161517462525
2023-09-30,-0.05948545328617995
2023-10-31,-0.02283949196982274
2023-11-30,-0.0033057881344996237
2023-12-31,-0.09365591970829823
2024-01-31,0.059982704601710235
2024-02-29,-0.17958557697507987
2024-03-31,0.03622126343431836
2024-04-30,-0.03213127818279319
2024-05-31,0.008130126083250089
2024-06-30,0.3822558751977938
2024-07-31,-0.1483975161097754
2024-08-31,-0.10202161439231149
2024-09-30,0.10536051565782634
2024-10-31,-0.051293294387550585
2024-11-30,-0.02486806657801357
2024-12-31,0.08590769924870478
2025-01-31,0.019868203216724986
2025-02-28,0.09977115374495031
2025-03-31,-0.008941937375661256
2025-04-30,0.03240342405465951
2025-05-31,0.05085841723349082
2025-06-30,-0.09228445888778788
