TradingDate,log_return
2022-06-30,0.08134563945395233
2022-07-31,-0.06453852113757086
2022-08-31,0.30010459245033805
2022-09-30,-0.18975653528147263
2022-10-31,-0.053652713492320335
2022-11-30,-0.40153582996827486
2022-12-31,-0.19415601444095767
2023-01-31,0.1335313926245221
2023-02-28,0.02469261259037142
2023-03-31,-0.05001042057466193
2023-04-30,0.21800215181379134
2023-05-31,-0.1438941796600693
2023-06-30,-0.1403573576949229
2023-07-31,-0.04196419909903233
2023-08-31,-0.014388737452099367
2023-09-30,-0.0752234212375876
2023-10-31,-0.18859116980754992
2023-11-30,0.0727593542824283
2023-12-31,-1.249000902703301e-16
2024-01-31,0.017391742711868996
2024-02-29,-4.163336342344337e-17
2024-03-31,-0.1286173778220935
2024-04-30,1.5612511283791264e-16
2024-05-31,0.16251892949777488
2024-06-30,-0.06899287148695178
2024-07-31,0.017699577099400718
2024-08-31,-0.11122563511022424
2024-09-30,0.0571584138399487
2024-10-31,0.07145896398214491
2024-11-30,-0.09015109699429757
2024-12-31,0.07275935428242811
2025-01-31,0.03448617607116914
2025-02-28,-0.03448617607116933
2025-03-31,0.39959998865576624
2025-04-30,0.3022808718729334
2025-05-31,-0.13976194237515865
2025-06-30,-0.051293294387550356
